0ad	古代战争即时策略游戏
kjumpingcube	简单的战术游戏
klee	KLEE符号执行机制
klettres	学习字母表的 KDE 程序
klickety	SameGame 益智游戏
klines	七彩线条游戏
klystrack	klystrack 是一个 fakebit Chiptune 跟踪器
kmag	一款屏幕放大工具
kmahjongg	麻将接龙
kmines	扫雷类游戏
kmousetool	适合残疾人士使用的鼠标操作工具
kmouth	语音合成器接口
kmplot	数学函数绘图仪
kms-serverproxy-demo	Kurento服务服务器端代理演示
kmymoney	基于复式记账法的个人理财经理
knavalbattle	战舰棋盘游戏
knctl	CLI knctl snap 包
knetwalk	电线益智游戏
knights	象棋游戏
knockdown	在 Knockdown 中，您可以使用各种材料和武器建造和摧毁塔
knot-resolver-gael	节点解析器
knowgo-vehicle-simulator	连接汽车模拟器生成和传输真实的遥测数据
knowte	诺特
kochmorse	一个简单的莫尔斯电码导师。
mir-kiosk-kodi	Kodi 打包为物联网 GUI
kohl	突出显示记录
kolf	迷你高尔夫球场
kollision	休闲球类游戏
kolourpaint	喷漆程序
kommit	KDE 的 Git gui 客户端
kommod-cli	用于测试系统和容器的完整工具
kommod-daemon	kommod-cli 背后的守护进程
kommod	管理和参加 kommods 研讨会的工具
komondor	Komondor 802.11ax 模拟器 Bustel 叉子
kompare	比较/补丁接口
kompose	从 Docker Compose 到 Kubernetes 的转换工具 https://kompose.io
kompozer	康普泽
konf	适用于 Canonical 网站的 Kubernetes 模板系统。
kong	云原生API网关
konjektkonekto	Konjektu vortojn，与朋友联系！猜词，与朋友联系！
konqueror	KDE 文件管理器和 Web 浏览器
konquest	银河策略游戏
konsole	终端
konstructs-client	基于体素的游戏客户端
kontrast	颜色对比检查器
konversation	IRC客户端
koombo	库姆博
kops	启动并运行生产级 Kubernetes 集群的最简单方法。
kotlin	命令行 Kotlin 编译器
koyuspace-desktop	fediverse koyu.space 实例的桌面客户端
kpat	纸牌纸牌游戏
kpcli-elopio	KeePass 命令行界面
kphotoalbum	KDE 图像管理软件
kqsnake	Qt 上的另一个贪吃蛇游戏
kraken-hello-world-hollowsaibot	单行电梯推介为您带来精彩快照
krdc	远程桌面连接客户端
kreversi	黑白棋棋盘游戏
kreya	gRPC 和 REST GUI 客户端
krfb	通过 VNC 与另一台计算机共享您的桌面
krig	一款战争策略桌游
krita	数字绘画，创作自由
kronometer	跑表
kronos-linux	Kronos，世嘉土星模拟器
krop	一款PDF文件裁剪工具
kruler	屏幕尺
kshisen	Shisen-Sho 麻将牌游戏
ksirk	风险策略游戏
ksnakeduel	类似电子世界争霸战的游戏
ksnip	基于Qt的跨平台截图工具，为您的截图提供许多注释功能。
kspaceduel	太空街机游戏
ksquares	连接点以创建正方形
kssh	使用 Google Cloud KMS 的 SSH 客户端
kstars	KStars 是一个面向业余和专业天文学家的桌面天文馆。
ksudoku	KDE 的 KSudoku、数独游戏及更多内容
k-sudoku	美丽有趣的数独
ksuperkey	将“Super”键映射到“Alt+F1”（许多 DE 上的应用程序启动器）
ksynetworks	来自 ksynetworks 的身份验证应用程序
ksystemlog	系统日志查看器
kt	Ubuntu 内核团队工具
kteatime	茶壶
ktimer	倒计时器
ktml-check	内核团队邮件列表实用程序
ktorrent	BitTorrent 客户端
ktouch	盲打导师
ktuberling	适合儿童和成人的简单搭建游戏
kturtle	教育编程环境
kubeadm	用于引导 Kubernetes 集群的工具。
kube-apiserver	公开 Kubernetes API 的 Kubernetes 控制平面组件。
kube-commander	随意浏览您的 Kubernetes 集群
kube-controller-manager	运行控制器的 Kubernetes 控制平面组件。
kubectl	用于控制 Kubernetes 集群的命令行客户端。
kubectl-eks	kubectl 控制 Kubernetes 集群管理器。
klock	监控资源的 Kubectl 插件
kubectx	kubectx + kubens：kubectl 的强大工具
kubedmp	很好地显示“kubectl cluster-info dump”的输出
kubefedctl	Kubefed 命令行工具
kubefed	kubefed 控制 Kubernetes 集群联合管理器。
kubekutr	用于脚手架 K8s 清单的千篇一律的建模工具
kubelet	Kubernetes 代理在每个 Kubernetes 节点上运行。
kubelet-eks	kubelet 是在每个 Kubernetes 节点上运行的主节点代理。
kubelogin	实现 Azure 身份验证的 Kubernetes 凭据 (exec) 插件
kube-proxy	Kubernetes 网络代理在每个节点上运行。
kube-proxy-eks	Kubernetes 网络代理在每个节点上运行。
kubepug	用于根据已弃用的 API 检查 Kubernetes 清单和集群的 CLI
kubernetes-test	测试 kubernetes
kubernetes-test-eks	测试 kubernetes
kubescape	适用于 IDE、CI/CD 管道和集群的 Kubernetes 安全平台。
kube-scheduler	Kubernetes 控制平面组件将每个新创建的 Pod 分配给一个节点。
kubrick	一款基于魔方的3D游戏
kubu	Kubu 文件管理器强调简洁的外观，使渲染、搜索和导航文件系统变得轻松。
kuiper	EMQ X Kuiper - 轻量级、前沿的物联网数据分析软件
kde-dev-utils	Qt Designer UI 文件查看器
kura	Eclipse Kura™，用于 M2M 服务网关的基于 OSGi 的应用程序框架
kura-nn	Eclipse Kura™，用于 M2M 服务网关的基于 OSGi 的应用程序框架
kurento-media-server	snappy 上的 kurento-media-server
kurly	Kurly 是流行的curl 程序的替代方案。
kuro-desktop	Kuro 是一款用于 Microsoft 待办任务的时尚桌面客户端
kustomize	Kubernetes 原生配置管理
kutimo	每天一个笔记和颜色。
kvantum	尝试以 Kvantum 为主题制作 Snap。
kwave	Kwave 是一个基于 KDE Frameworks 5 的声音编辑器
kw-finance	KW.财经
kwordquiz	词汇学习计划和抽认卡
kwt	CLI kwt 快照包
kxstitch	十字绣图案制作者
kyle-anderson-demo-1	凯尔安德森演示-1
kyle-ros2-colcon-pub-sub	ros2 cpp 说话者和倾听者
kyodai	非常好的麻将游戏
kyuhelloworld22	一个简单的 Hello World 程序。
kyunotify	一个简单的 kyuNotify 程序。
labas	GNU 你好，你好世界快照
labeler	贴标机
labelnation	命令行标签打印程序
labenigma	三消风格的益智游戏
lablie	SVG 打印标签生成器
laborales	实验室
labplot	交互式数据可视化和分析
lab-portfolio	实验室组合
lachesis	拉克西斯
ladder	Ladder 是一个网络代理，可帮助绕过付费墙
ladybug-2k6	精美的吃豆人风格游戏
lagoon-cli	lagoa-cli 即时包
laider-tools	层测试工具
laidout	桌面出版
landing-team-tools	Ubuntu-Touch登陆世界中的各种好用工具。
landscape-api	访问 Landscape API 的工具
langly	朗利
languagelab	语言实验室
languagetool	语言工具
lanmiaodesktop	桌面会计程序（电子演示）
lanpush	用于在同一本地网络（CLI/终端）上的设备之间交换文本消息的实用程序。
lanpush-gui	用于在同一本地网络（GUI/桌面）上的设备之间交换文本消息的实用程序。
hunt-r	您工业机器的生产力助推器！
lantern-water-iot	适用于您的供水设施和配送中心的可扩展物联网解决方案。
lanto	直观的批量照片缩放器
laos-quest	一款具有挑战性的平台游戏，关卡设计巧妙而巧妙！
lapify-admin	一个私人 flutter 应用程序，用于将数据发送到我们的服务器
lapin	兔子
laradumps	劳拉转储
large-files-finder	立即找到硬盘上的大文件并轻松释放磁盘空间！
large-pcap-analyzer	命令行实用程序可以非常快速地处理 .PCAP 文件。
lasagna	一个 CLI 工具，可以为您构建 lambda 层 zip。
laser-arena	老派 FPS 射击游戏
last-answer	带有快速注释的快速想法头脑风暴工具
latch	安全的团队沟通
wallpapers-poland-late-summer	波兰夏末照片壁纸集
latexmailmerge	一个命令行帮助程序，用于将 CSV 文件转换为 LaTeX 命令格式，以便数据可用于邮件合并信件。
latexml	LaTeX 到 XML/HTML/MathML 转换器
lattam	电影精彩！
launcher-ot-minecraft	另一个 Minecraft 的 tarball 启动器
gitlptools	使 git 与 Launchpad 良好配合的工具
layan-themes	GTK Snap 的 Layan GTK 主题
lazfuck	用 Lazarus/FPC 编写的简单 BrainFuck IDE。
lazpaint	具有光栅层和矢量图层的图像编辑器。
lazy-dev	它是由加布里埃尔·梅西亚斯·达·罗莎·多·巴西 (Gabriel Messias da Rosa do Brasil) 创建的。
lazygit-gm	一个简单的 git 命令终端 UI，用 Go 编写。
lborj	巴巴利 巴利巴利 巴利巴利 巴利巴利 巴利巴利
lbreakouthd	一款具有许多额外好东西的创新游戏
lcavassa-iperf	iperf3
lci	LCI LOL 代码解释器
ldc2	带有 LLVM 后端的 D 编译器
ldpl-lang	适用于 Unix 系统的编译型编程语言，受到 COBOL 的启发
leafpad	基于GTK+的简单文本编辑器
leafview	福尔哈维尤
learningml-desktop	学习MLDesktop
learnit	通过闪存卡测试学习
learn-pro-snap-app	离线IMAP
led01	LED 开/关
led384x96	LED384x96
led-scrolling-display	LED 滚动显示屏允许您在屏幕上滚动文本
lefthook	适用于任何类型项目的快速且强大的 Git 挂钩管理器。
leibnitz	莱布尼茨提供用于计算和图表的电子纸。
lemmings	旅鼠的演示版
lengau-codespell	修复代码中常见的拼写错误
lenna-cli	这是 Lenna 的命令行界面。
lenna-qt	用于图像转换的 Lenna 桌面应用程序。
lenovo-wwan-dpr	此应用程序用于联想 WWAN 功能的 FCC 和 DPR 解锁。
kontena-lens	Lens - Kubernetes IDE
leocad	用于创建虚拟 LEGO® 模型的 CAD 应用程序
leo-editor	Leo 是一个 IDE、大纲工具和 PIM。
lepton	免费开源代码片段管理器
letitgo	LetItGo 自动化发布。
let-it-ride	街机赛马游戏
letswork	工人的时钟按照 CLT 执行。
letter-rip	不错的文字游戏
level9	互动小说游戏翻译9级
lewontin-docker-registry	Docker 容器注册表
lff	简单直接的大文件查找器 CLI 实用程序
lfmg	创建许可证
libation	免费您的有声读物
libbylinux	适用于 Linux 的 Libby 电子容器。
liberdrop	在设备之间轻松传输文件。
libfolding	用于计算流数据单峰折叠测试的 C++ 库
libhandy	一个充满 GTK+ 手机小部件的库
libinput	libinput-tools 在调试 libinput 时很有用
libp2p-nodetrust-server	Nodetrust libp2p 的服务器
librealsense-chenhan	自由意识
librealsense	自由意识
libreflix-desktop	Libreflix 桌面
libreoffice	LibreOffice 是一款免费开源办公套件
librepcb	用于开发印刷电路板的 EDA 软件
librephoto	**适用于 Linux 的 Photopea 离线版本！没有广告和帐户要求！ **
libreplay	免费游戏
librespot-dev	无头 Spotify Connect 接收器
libresprite-simosx	动画精灵编辑器和像素艺术工具
libretrack	私人跨平台包裹跟踪应用程序。
libspot	用于标记流数据中异常值的 C++ 库
libtrainsim	libtrainsim 参考实现
libtrainsim-data-munich-u6	libtrainsim 的慕尼黑 U6
libvips	预编译的快照 https://github.com/libvips/libvips
liedetector	基于Python的测谎仪
lifehq	设计你的生活。
liferea	Liferea 是一个桌面提要阅读器/新闻聚合器
lightning-talk-gong	闪电说话锣
light-player	一款轻量级的视频播放器。
lightsoff	关掉所有灯
lighttpd-php	lighttpd 与 php-fpm
lighttpd-snap	眨眼间一个简单的lighttpd
liground-chess	21 世纪的免费、开源、现代国际象棋变体分析 GUI
liko-12	一款开源奇幻计算机，由 LÖVE 开发
limload	Limit Load 是一款以现代军用喷气机为特色的驾驶舱飞行游戏
limnoria-gittracker	带有 GitTracker 插件的 Limnoria 实例
limo	Linux系统资源监视器。
lincity-ng-game	城市建设模拟器
linkedin-webapp	适用于 Ubuntu 手机的 LinkedIn Web 应用程序
line3dpp-mardy	林哈3D++
linex	Linex (lnx) 是一个功能强大的 CLI（命令行界面）工具，旨在加速和简化 shell 套件的运行
linion	TESO 附加管理器
linked	链接 - 无干扰的每日日记
linkrot	链接腐烂
links	以文本模式运行的 Web 浏览器
linode-cli	linode-cli 允许您从终端管理您的 Linode 帐户。
linotte	Linotte 是完全法语的编程语言。
linux-app	Linux应用程序
linuxapptestupwork	我的精彩游戏
linux-cl	更改 linux tty 配色方案
linux-pdf-reader	Linux下的PDF阅读器
linux-search-everything	适用于 Linux 的更快、更灵活的文件浏览器
linuxstats	Linux 统计
linuxtycoon	DOS 版 Linux 大亨
butterfly	功能强大、简约、跨平台、开源笔记应用程序。
liquibase-database-migration	数据库的源代码控制
liquibase	数据库的源代码控制
liquidctl	用于电源、冷却和 LED 组件的状态和控制实用程序
litebmc-fwupd-egw-3200	liteBMC固件更新工具
liteide-tpaw	LiteIDE 是一个简单、开源、跨平台的 Go IDE。
lithospos	简单易用的 POS 软件 - 零售/餐厅
litteris	有组织的邮件通信
little-brother-slave	用于监控登录时间并在超过使用时间时终止进程的工具
little-insomniac	适用于 Mac、Windows 和 Linux 的最小抗睡眠应用程序
little-spy	2D 平台。追回被盗的情报和技术。
liuyi-first-snap	这是对快照的测试。
liveforspeed	Live for Speed（LFS）是一款在线赛车模拟器。
livetuner	直播者的 GUI
lizard-game	与蜥蜴一起跳跃以获得最高分。
llama	终端文件管理器
llgo	Lgo 编译器工具集和解释器
ll-mec	低延迟MEC平台
llvm-aio	LLVM 多功能工具集
lmdownload	供订阅者使用的 Linux 杂志 PDF 下载器
lmntal-compiler	LMNtal编译器
lmntal-slim	SLIM - Slim LMNtal 实施
lms	英特尔(R) AMT 本地管理服务
lnav	日志文件浏览器
lngcnv	语言学 - 英语、拉丁语、波兰语、盖丘亚语、西班牙语、蒂库纳语
lntree	用于将目录树的叶子符号链接到给定路径的工具
lnxagent	Linux 代理安装程序。
local-proxy	本地服务的代理
localxpose	反向代理允许您将本地主机公开到互联网。
lockbook	Lockbook 的 CLI 版本
lockbook-desktop	Lockbook 的 Linux GUI 版本
loganalyzer-pbek	通过使用正则表达式缩小内容来帮助您分析日志文件
logarithmplotter	创建和编辑渐近波特图
logcat-colorize	logcat-着色
logisim-snapcraft	Logisim 是一个数字电路模拟器
logisim-evolution-snapcraft	数字逻辑设计工具和模拟器
logisim-evolution	数字逻辑设计工具和模拟器
logmein-host	适用于 Linux 的 LogMeIn 主机软件（测试版）
logs	历史性
logsearch	简化日志文件搜索的工具
logseq	用于知识管理和协作的隐私第一开源平台
logs-inferno	地狱日志
logsync-james	允许将日志上传到远程服务器
logyxpack	150 个游戏，主要是逻辑游戏，集中在一个窗口中
lokalize	计算机辅助翻译系统
lolcat-c	用 C 语言编写的 lolcat 实用程序
lolcat	彩虹和独角兽！
lolcat-rs	Lolcat 为您的生活增添色彩。
lonewolf	角色扮演游戏，选择你自己的冒险
longtermabsorbed-hello	GNU 你好，你好世界快照
losslesscut	无损视频/音频编辑的瑞士军刀
lostmem	一个简单的免费游戏
lotion	Lotion 是一款适用于 Linux 的 Notion.so 电子应用程序。
lotus	filecoin 守护进程/客户端
lotus-filecoin	filecoin 守护进程/客户端
loupe	查看图像
love	免费 2D 游戏引擎
lovely-memory-game	工作或学习之间短暂休息的放松游戏
lp-build-snap	在 Launchpad 中触发 Snap 包构建的实用程序
lpci	Launchpad CI 作业的执行者
lpcraft	Launchpad CI 作业的执行者
lpos	观点
lp-remote-build-gh-ci-token-generator	显示要存储在 GH CI 中的令牌以使用远程构建
lprint	标签打印机应用程序
lpshipit	用于合并和测试启动板 MP 的有用实用程序
lp-to-jira	用于将 Launchpad 内容导入 JIRA 的命令行界面
lpub3d	LPub3D - LDraw 构建指令编辑器
lr87	LR-87是一个过于简单的哑终端Gemini客户端
lsd	带有许多漂亮颜色的 ls 命令。
ls-go	用 Go 编写的 ls 的更丰富多彩且易于使用的实现
ls-having	一个命令行工具，用于根据指定的标志文件和其他条件查找目录
lskat	适合两人玩的德国纸牌游戏 Skat
ltris-windows	一个免费的俄罗斯方块克隆，遵循原始规则，但添加了一些额外功能
luca-hello	GNU 你好，你好世界快照
lucas-chess	该程序有 40 个引擎，从一开始就可以玩，并且级别各不相同
ludo	Jean-André Santoni 开发的 Libretro 模拟器的极简前端
lunacy	适用于自定义 UI/UX、Web 项目、应用程序开发和数字媒体的图形设计协作软件
luna-modeler	关系数据库的数据建模工具
lunasea	自托管软件控制器
lunatask	一体化加密待办事项列表、习惯和情绪跟踪器、日记和笔记应用程序。
luneta	模糊终端定位器
lvnauth	创作和播放视觉小说
lw-ziki-amp	利用音乐的力量
lxd-bgp	BGP 服务器公开 LXD 路由
lxd-demo-server	使用 LXD 的在线软件演示会议
lxd	LXD - 容器和虚拟机管理器
lxdmosaic	用于管理多个 LXD 实例的 Web 界面
lximage-qt	快速图像查看器
lxi-tools	开源 LXI 工具
lyricfier	Spotify 应用程序的歌词搜索
lyricpad	强大的歌词搜索应用
lyrics818	生成带有歌词的视频
lyubo-test-002	即时测试
lz4	极快的压缩算法
maas-cli	（已弃用）用于与 MAAS 区域通信的 CLI
mabl-app	适用于 Linux 的 mabl 桌面应用程序
macaroon	从命令行烘烤杏仁饼！
mace	最小汇编代码编辑器
machine-sem-parar	本地应用
machine-sp	单行电梯推介为您带来精彩快照
mackup	保持应用程序设置同步
mad-caps	精美的三消游戏
madfish	疯狂的鱼
magarbhasa	马加尔语
magarena	单人集换式卡牌游戏
magic8ball	问神奇8球
magic-device-tool	魔法装置工具
magic-mahjong	麻将接龙游戏
magic-paint-kaleidoscope	魔法墨水万花筒
magicraminstaller	使用此脚本安装 RAM！
magma-mud	Magma 多用户地下城 (MUD) 引擎
magnesium	镁音乐播放器
magnus	马格努斯放大镜
mahjong-game	麻将游戏，单人游戏。基于SDL2
mahjongg-windows	精美版麻将接龙
maiden-monk-and-ogre	精美的益智游戏
maildir-utils	带有 Emacs UI 的 Maildir 索引器/搜索器
agent	适用于 Linux 的 Mail.ru 代理
mailspring	适合个人和工作团队的最佳电子邮件应用程序
maiss-lehrerapp	Leichte 和 Lehreralltags 的高效组织
maitreya8	Maitreya 是吠陀和西方占星学的开源平台。
make-launcher	在桌面上制作应用程序启动器
makemkv	备份您的 DVD 和蓝光光盘
make-system-user	创建系统用户文件用于自动导入
makhber	马克贝尔
malanhello	GNU 你好，你好世界快照
maldita-castilla	保卫你的王国……为了上帝和卡斯提尔！
mame	多街机模拟器 (MAME)
mangaku	Baca Komik Manga Manhua Manhwa、卡通、动漫 Free Lengkap disini tempatnya
mangband	Angband 多人游戏版本
manon-mosta	单行电梯推介为您带来精彩快照
mantohtml	手册页到 HTML 转换器
manuskript	Manuskript 是一款供作家使用的开源工具。
map-creator-unofficial	创建特定于语言的地图、图表、图表和时间表。
mapollage	Mapolage 是 Google 地球的 kml 照片生成器
mapscii	整个世界都在你的控制台上。
backslash-maps	使用 BackSlash 地图更快、更轻松地探索您的世界
mapton	某种地图应用程序
marble	虚拟地球仪
marble-race	弹珠跑小游戏
marge	Markdown 渲染器（Github 版）
mari0-ce	社区驱动的修复和改进 Mari0:SE 最新版本的努力
mari0	马里奥平台 + 门户
marioqeshm	巴登
mdview	从命令行在浏览器中查看 Markdown 文件。
marker	适用于 GNOME 桌面的强大 Markdown 编辑器。
marketo-monkey	CLI 工具协助 Marketo 集成
marksman	Markdown 的 LSP 服务器
marktext	一个简单而优雅的开源折扣编辑器，专注于速度和可用性。
marp-cli-carroarmato0	用于基于 Marp 和 Marpit 的转换器的 CLI 界面
marsshooter	一款 2D 太空射击游戏，具有令人难以置信的视觉效果和有吸引力的物理效果。
mars-t	火星太阳日期和火星坐标时间
martialcards	复古卡牌 Roguelike
massif-visualizer	查看Valgrind Massif记录的内存使用情况的工具
masterofrenaissance	Java版文艺复兴大师游戏
master-pdf-editor-5	Master PDF Editor 是处理 PDF 文档的完整解决方案
mom-ime	Master of Magic 是一款角色扮演游戏和策略游戏的结合
materialmaker	可用于按程序创建纹理的工具
materials	伦敦帝国学院计算系的材料应用程序（非官方）
mate-system-monitor	MATE Desktop 的进程和资源监视器
math-notebook	Mathcha 笔记本，Mathcha 桌面版
mathspace3d	3D数学游戏
matrix-commander-gael	简单而方便的基于 CLI 的 Matrix 客户端应用程序
matrix-synapse-bridged	Synapse 是由 Matrix.org 基金会编写的开源 Matrix 服务器。
matrix-synapse-ec0	参考矩阵家庭服务器
matroska-tools	适用于 Linux、Unix 和 Windows 的 Matroska 工具
matterbridge	MatterBridge 协议桥
mattercord	Mattercord：Discord 和 Slack 的混合体。
matterhorn	马特宏峰
matterircd	与 Matter 和 Slack 集成的最小 IRC 服务器
mattermost-client-ogra	Mattermost 的 Web 应用程序
mattermost-desktop	专为协作新时代打造的安全、灵活的平台
maven-central-search	Maven 中央搜索
max65	适用于 65xx CPU 系列的命令行宏交叉汇编器
maxautoclicker	鼠标点击模拟和自动化
maxima	完整的计算机代数系统
maxishoot-unofficial	杀死尽可能多的敌人
zetsubougames-maxmassacre	一部以充满怪物的奇幻世界为背景的视觉小说
maxtest	反馈表
maybe-thibran	在命令行上跳转到已知文件夹
mazu-editor	具有语法突出显示、复制/粘贴和搜索功能的简约文本编辑器
mbd-nm-captive	监听网络连接状态的变化
mboard	数字孪生 KPI 仪表板
mcc-testbed	移动云计算测试工具
mcomix-tabetai	可定制且易于使用的图像查看器，专为处理漫画而设计。
mc-pasman	Midnight Commander - 控制台文件管理器
mcq-pulzion	MCQ-拉动
mcrcon-nsg	mcrcon 是一个基于控制台的 rcon 客户端，用于远程管理和脚本编写
mc-server-installer	Minecraft 服务器下载和安装/配置工具
md2pdf-client	使用 md2pdf 服务器将 Markdown 文本渲染为漂亮的 PDF
md5-console	一个简单的MD5计算工具。
mdaraujo19-jtd	Java 用于可分发
mdbook	从 Markdown 文件创建一本书
mdl	Markdown Lint 工具
mdless	在终端中舒适地查看 Markdown
mdns	mdns.cli 服务定位器
mdns-hostname	用于发布主机名的 mDNS 迷你守护进程.local
mdserv	在网络浏览器中查看 Markdown 文件
mdtex	米德克斯
mead-r	用 Rust 编程语言重写莫尔斯编码和解码。
mechvibes	打字时播放机械键盘声音
mediaconch-gui	合规检查器
mediainfo	用于从音频/视频文件中读取信息的命令行实用程序
mediainfo-gui	用于从音频/视频文件中读取信息的图形实用程序
medicapptoolsdatasets	MedicApp工具数据集
meepo	在 p2p 通道上无需公共 IP 连接到您的服务
mega-cmd	用于访问 MEGA 的交互式、可编程命令行应用程序
megamek	Battletech 多人战斗模拟器
meine-gesundheit	梅因·格桑海特
melissacarlson-hello	GNU 你好，你好世界快照
melodie	旋律
melonds	任天堂 DS 和 DSi 模拟器
meme	模因
memfifo	ZTEX USB-FPGA 2.16 模块的图像加载器和接口带宽测试仪
memgauge	内存性能监控和基准测试工具
memo-editor-95-language-translation	备忘录编辑器 95 语言翻译
memory-tiles	Memory Tiles 是一款简单的记忆配对游戏。
menukaran	手动安全地创建和管理桌面文件。
mercurial	水银DVC
merkaartor	OpenStreetMap 编辑器
merlins-magic-breakout	更新到街机经典
mesa-core22	core22 快照的台面库
meshlab-mardy	网格实验室
mesmerize	钙图像分析平台
messenger-collabee	协作信使
metadata-cleaner	查看和清理文件中的元数据
meta-maas	管理多个 MAAS 区域的工具
metanorma	Metanorma 文档生成器
meteo	通过数据和地图了解未来几小时和几天的天气预报
meteor-defence	保护你的星球免受外星飞船的入侵
metrics	阿纳迪亚指标
mgba	mGBA Game Boy Advance 模拟器 https://mgba.io/
mget	下载文件的命令
mgopurge	清理mgo/txn管理的Mongo数据库
mg-thibran	OpenBSD 微型 Emacs 克隆
michaelp-anthwlock-untrunc	恢复损坏（截断）的 mp4、m4v、mov、3gp 视频
microceph	简单的Ceph集群部署
microcloud	小规模自动化云部署
micro	现代且直观的基于终端的文本编辑器
microk8s	适用于工作站和设备的 Kubernetes
microk8s-integrator-macos	MicroK8s MacOS 集成器
microk8s-integrator-windows	MicroK8s Windows 集成器
microm8	microm8 苹果][ 模拟器
micropad	一款功能强大的笔记应用程序，可帮助您不受限制地整理和记笔记。
micropolis	Micropolis，Maxis Software 的原创城市模拟游戏
micropolisj	开源城市模拟器。
micropython	MicroPython Linux 版本
micro-ramukima	微服务工具包
micro-ros-agent	桥接 micro-ROS 和 ROS 2 应用程序
microservicebus-dam	microServiceBus 的设备访问管理
microservicebus-node	microservicebus-node 是用于 microServiceBus.com 的基于 Node.js 的代理
microsocks-simosx	小型便携式 SOCKS5 服务器，资源使用率非常适中
storage-explorer	优化您的 Azure 存储管理
ms-solitaire	从 Windows XP 中提取的 Microsoft Solitaire
ms-spider-solitaire	从 Windows XP 中提取的 Microsoft Spider Solitaire
microsoft-todo-unofficial	微软待办非官方版本
microstack-test	用于测试 MicroStack 的集会、风暴和测试设置。
micro-xrce-dds-agent	Micro XRCE-DDS 和 DDS 客户端之间的桥梁
midnightmareteddy	射击并生存
midnight-rebooter	此快照在午夜重新启动设备
midori	轻量、快速且免费的浏览器
miggy-migration	用于脚本迁移和修补
migra	与 diff 类似，但适用于 Postgres 模式
miksudr	躲避箭矢并生存！
mikutter	简单、强大、功能强大的多服务客户端（Mastodon、Twitter）
milky-way-madness	经典投币式街机射击游戏！
mille-bornes	游戏《Mille Bornes》的 DOS 版本
mille-text	Mille Bornes 纸牌游戏的经典文本版本
millipede	经典街机游戏的重制版
mill	支持多种规则变体的 Mill 游戏。
mimixrom-hello	你好
mindi	明迪音频转换器
mindrover-europa	一款复古坦克游戏
mindustry	一款沙盒塔防游戏
mindustry-linux	一款塔防沙盒游戏
mindustry-windows	一款塔防沙盒游戏
mineboy	在这款平台冒险游戏中逃离矿井并探索其秘密。
mc-installer	Minecraft - Java 版的简单安装程序
minecraft-server-jdstrand	适用于 Ubuntu Core 的 Minecraft 服务器捆绑包
minerva	离线阅读 MKProject 书籍的方式
minestorm	Vectrex游戏版
minesweeper	扫雷游戏
minesweeperjs	扫雷Js
minetest	开源体素游戏引擎
minicom-snap	适用于 Ubuntu Core 的 Minicom 串行终端实用程序
mini-desktop-racing	迷你库珀赛车游戏
mini-diary	简单安全的日记应用
minidlna-jdstrand	服务器软件旨在与 DLNA/UPnP 客户端完全兼容。
minigolf-1shot	迷你高尔夫球场，带 1 个钥匙
mining-flasktemp	烧瓶应用程序
minio-mc-nsg	MinIO MC 是一个实现 AWS S3 API 的对象存储客户端。
miniterm-joc	pySerial 小术语一览
mini-text	临时文本编辑
minivirt	单行电梯推介为您带来精彩快照
minizinc	随附的 MiniZinc 语言工具集和 IDE
minotaur-wallet	牛头怪钱包
mint-console	Mint 控制台桌面应用程序。
minter-console-web	明特控制台
minuet	音乐教育软件
miriway	Miriway：为您的桌面环境配置的图形外壳
mir-kiosk	立即迁移到 Ubuntu Frame
mir-kiosk-mpv	在信息亭模式下播放视频
miro	在线协作白板平台可随时随地将团队聚集在一起。
mirros-one	专为智能镜子量身定制的操作系统。
mir-test-tools	Mir 测试脚本和应用程序
miscord	从 Facebook Messenger 到 Discord 的简单桥梁
missilemath	飞行的飞机射手
mist	自动植物浇水
mitk	医学图像交互工具包 (MITK)
mixin-desktop	混合信使
mixxx-community	Mixxx 是免费的 DJ 软件。
mizar	一个有用且直观的 TCP 测试工具，可以立即使用。
mjolnir	雷神锤响指
mjpg-streamer	UVC 网络摄像头流媒体工具
mkcron	适用于 Linux 桌面的简单 Cron 计划表达式编辑器
mkdocs-carroarmato0	使用 Markdown 编写项目文档
mki3dgame-snap	在 3D 关卡中搜索宝石。避免飞行怪物。
mkp224o	用于洋葱 v3 隐藏服务的自定义地址生成器 (ed25519)
mkpass	简单安全的密码生成器
mkvtoolnix-jz	MKVToolNix 是一组用于创建、更改和检查 Matroska 文件的工具
mle-editor	灵活的基于终端的编辑器。
logmms	EI 操作记录
mmdutil	Markdown 转换实用程序。
mmex	Money Manager Ex - 简单易用的财务管理软件
mmongodb	MongoDB
moabite-stone	摩押三消游戏
moauth	OAuth 2.0 授权和资源服务器
mobalytics-desktop	莫巴利石
mobsf	移动安全框架 (MobSF)
mobsfscan	用于查找 Android/iOS 源代码中不安全代码模式的静态分析工具
mob-sh	使用 mob 进行快速 git 传输
mocha-desktop	摩卡
mockoon	模型
mockswitch	模拟服务、Rest 客户端、开放 API、Swagger
mockuuups	产品模型，简单、即时。
modem-manager	ModemManager是控制移动宽带的服务
mojave-themes	Mojave GTK 和 GTK 快照的图标主题
mojo	Mojo - Juju 的持续交付
molden	Molden 是一个用于显示分子密度的软件包。
molecule-dev	Molecule.dev 演示应用程序
monacoin	全面验证 Monacoin 点对点网络节点、钱包和 GUI
