0ad	Forn stríðsleikur í rauntíma
mosbbz	Acorn MOS fyrir aðlögunarlag 6502
moskotcho-password-generator	Opinn uppspretta forrit til að búa til handahófi og örugg lykilorð
mosquitto-configurable	stillanleg fluga smellur
mosquitto	Eclipse Mosquitto MQTT Corrector
moted	Kjörorðið
motes	Nútíma nótur
motrix	Fullkominn niðurhalsstjóri
mountain-tapir	Mountain Tapir Collage Maker er tæki til að sameina myndir í klippimyndir.
mounty	SSH tengja möppur
mousai	Þekkja lög á nokkrum sekúndum
movie-monad	Ókeypis, einfaldur í notkun myndbandsspilari gerður með Haskell.
moviesquare	Movie Discovery Client fyrir Linux skjáborð
movx	MovX
mp3gain	MP3Gain greinir og stillir mp3 skrár þannig að þær hafi sama hljóðstyrk
mpg123-cm	Hraðvirkur MPEG hljóðspilari
mpv	Ókeypis, opinn uppspretta, margmiðlunarspilari
mpv-nilsboy	ókeypis, opinn uppspretta, margmiðlunarspilari.
mpv-wayland	Wayland-only mpv mediaplayer snap
mpw	CLI Masterpassword forritsins.
mqtt-client-cli	MQTT viðskiptavinur CLI.
mqttd	OpenIoTHub Mqtt miðlari.
mqttdesk	MQTT skrifborðsbiðlari yfir vettvang -MqttDesk
mqtt-explorer	Alhliða og auðveldur í notkun MQTT viðskiptavinur
mqtt-paho-mosca	áskrifandi og útgefandi paho mqtt
mqttsrv	Mqtt netþjónn sem hlustar á 11883 á staðnum
mqttx	MQTT X: Glæsilegur MQTT 5.0 skjáborðsbiðlari á milli palla
mrrescue	Slökkvileikur í spilakassa-stíl
mrxecplayer	mrx_ec_player
ms-365-electron	MS-365-rafeind
msds	FISPQ
msnake	Einfaldur snáka leikur
mspacman	DOS útgáfa af frú Pacman
mtail	logtail-ing fyrir mælikvarðaútflytjanda
mtask-desktop	Super flott app
mtproxy	Einfalt MT-Proto Proxy
webinar	MTS tengill
muccadoro	Pomodoro tímamælir með fíkju, cowsay og lolcat
mudlet-linux	Þvert á vettvang, opinn, ofurhraðan MUD viðskiptavin með Lua forskriftum
muezzin	Islamic Prayer Times (Adhan) og Quran app
muffet	Fljótur veftenglaskoðun í Go
multi-app-launcher	Hladdu mörg forrit í rist og ræstu þau öll í einu
multicommander	Skráasafn fyrir fagfólk.
multicraft	Ubuntu útgáfa af Multicraft voxel leiknum
multipass-gui	Multipass
multipass	Ubuntu Snapshot VMs
multipass-sshfs	Netskráarkerfisbiðlari til að setja upp hýsilskrár
multipassword	MultiPassword er áreiðanleg og örugg leið til að geyma lykilorð og innskráningu vefsíðna.
mumble	Opinn uppspretta, lítil leynd og hágæða raddspjall
mmapper	MMapper er grafískur viðskiptavinur og kortlagningarmaður fyrir MUME (Multi-Users in Middle-earth)
mummy-maze-deluxe	Annar frábær PopCap ráðgáta leikur
munadi	Einfalt Athan app
munatask	Kanban Munatask
mup-accounts	mup IRC og Telegram bot - reikningstengingarhlið
mupen64plus-gui	Að byggja Mupen64plus keppinaut með GUI
mup-plugins	mup IRC og Telegram bot - viðbætur hlið
musclecalc	Líkamsrækt - áætla eina endurtekningu að hámarki (1RM)
musescore	Búðu til, spilaðu og prentaðu fallegar nótur.
mushroomroulette	Sveppirúlletta er 2D þrautaleikur sem byggir á stigum ofan frá.
musicarley	Ókeypis tónlistar- og myndbandsspilari fyrir alla.
picard	Picard er opinber hljóðmerki MusicBrainz
music-kitten	Tónlistarkettlingur
musicly	Einfaldur og glæsilegur tónlistarspilari
musicpod	Tónlist, podcast og netútvarpsspilari fyrir Ubuntu skjáborðið þitt
music-radar	Tónlistarviðurkenningarforrit fyrir Linux skjáborð
musikcube	tónlistarspilari, lýsigagnavísir og þjónn sem byggir á útstöðvum
musiko	Tónlist
musixmatch	Musixmatch skrifborðsforrit
mutable-mamba	Mutable Mamba er snákaleikur með mun
mutt	kjáni
mve	Multiview umhverfi
mve-mardy	Multiview umhverfi
mvisonneau-s5	Geymdu ofurviðkvæma hluti á öruggan hátt
mvs-texturing-mardy	MVS Texturing - 3D Reconstruction Texturing
mw-agent-host	próf samantekt
my-air-snap	Þetta er skyndimyndin mín
myappmaroine	Teningkast með numpy.
my-awesome-app	Þetta er kynningarforritið. frá Snapcrafters Template Plus
mycli	mycli er skipanalínuviðmót fyrir MySQL, MariaDB og Percona.
my-covid-quizzie	Próf umsókn
myedgesnap	Pressan mín
my-electron-app	Starship útgáfa af Electron's hello world app
my-finroc-snap-app	my-finroc-snaptest samantekt
my-finroc-snap	my-finroc-snap samantekt
my-finroc-snaptest-app	my-finroc-snaptest-app samantekt
my-finroc-snaptest	my-finroc-snaptest samantekt
mygeniusapp	My Genius® er einstaklings- og fyrirtækjavöktunarforrit
my-hello-javier	GNU Halló, Hello World snap
my-hello-snap	GNU Halló, Hello World snap
my-hello-world-app	Halló heimur APP.
myip	sýna ytri IP tölu
myman-mreed	Þetta er mynd af mínum manni
mynews	Sérsniðin fréttastraumsgreiningartæki og streymi
mypdfsigner	MyPDFSigner er tæki til að undirrita PDF með því að nota PKCS\#11 og PKCS\#12 lyklageymslur.
myposoid-windows	MyPOS.Касса
my-published-app	Orðabókasía fyrir STDIN
my-releng	prófunarverkefni sem sýnir pakka og útgáfu
my-sh-test	Ein lína
mysnap-mqtt	MQTT snapp fram og til baka.
mysql-query-profiler	MySQL fyrirspurnarsnið
mysql-shell	MySQL Shell er háþróaður viðskiptavinur og kóða ritstjóri fyrir MySQL Server.
mysql-workbench-community	MySQL vinnubekkur
mytelnet	mytelnet
mytestapp	Flutter kynningu Linux teljara app
mytestbank	Prófunarbekkur og prufukynslóðarforrit.
mytestbankplus	Prófunarbekkur og prufukynslóðarforrit.
my-test-snap	samantekt á skyndiprófinu mínu
my-test-snap-tmp	Snap tmp prófið mitt
myth-makers-trixie-in-toyland	3D action platformer
mytvlist	sjónvarpslisti
mz2-schemaspy	Skjalaðu gagnagrunninn þinn á einfaldan og auðveldan hátt
mzap	Multi-Target ZAP Scan
n3dr	Nexus3 Disaster Recovery
namebench-snap	nafnabekkur, DNS þjónustu viðmiðunartæki
namecoin-core	Bitcoin losar um peninga - Namecoin losar um DNS, auðkenni og aðra tækni.
nano-editor	Nanó textaritillinn
nanovoid	Klassísk 2D geimskotleikur með ítarlegri myndrænni 2D grafík
nanowallet	Öruggt viðmót við NEM blockchain vettvang.
nap-snippets	Nap er umsjónarmaður kóðabúta fyrir flugstöðina þína
natcloud	NAT fyrir innra net
natls	⚡ „ls“ staðgengillinn sem þú vissir aldrei að þú þyrftir ⚡
nativefier	Nativefier er skipanalínutól til að búa til „skrifborðsforrit“ auðveldlega
natron	Natron
nats	Afkastamikill miðlari fyrir NATS, skýja-innbyggt skilaboðakerfi
nats-server	Hágæða netþjónn fyrir NATS
naval-battle	Herskip útgáfa
navisign-player	NaviSign Reader
navoki-notes	Taktu minnispunkta og samstilltu á öllum farsímum þínum, vefnum, borðtölvum
nax	Lifðu lífi venjulegs textaráðningar.
nbok	NBOK gerir Mac, Windows, Linux, Android/iPhone kleift að eiga samskipti sín á milli, senda skilaboð eða skrár
mosaic	NCSA mósaík
ncspot	Cross-platform Spotify ncurses viðskiptavinur skrifaður í Rust
ndsi-node-exporter	Prometheus hnútaútflytjandi
ndsi-process-exporter	Prometheus Process Exporter
ndsi-rsync	Afrita og samstilla skrár og möppur á Linux/Unix kerfum.
nebula	Stærðanlegt yfirlagsnetverkfæri.
nebula-lighthouse-service	Stærðanlegt yfirlagsnetverkfæri.
nectarjs	Deus Mod fyrir JavaScript
nectar-mosaic-manager	MOSAIC framkvæmdastjóri
nectir	Nektar
nelson	Við skulum fara Nelson! Fylkismál fyrir vísinda- og verkfræðiforrit
neocd	NeoGeo CD keppinautur
neochat	Viðskiptavinur fyrir Matrix, dreifða samskiptareglur
neofetch-desktop	Neofetch skrifborð
neomutt	NeoMutt er skipanalínu tölvupóstlesari (eða MUA)
neopocott	NeoPocott, NeoGeo Pocket keppinauturinn
neopop	NeoGeo Pocket Emulator
neovide	Hraðasta vim ritstjórinn sem þú munt líklega finna.
nvim	Vim-fork einbeitti sér að teygjanleika og notagildi
neovim-kalikiana	Vim-fork einbeitti sér að teygjanleika og lipurð.
nepaliunicode	Unicode Converter forrit með stuðningi fyrir GNU/Linux, Windows og macOS.
nervatura	Opinn uppspretta viðskiptastjórnunarrammi
nest-desktop	Vefbundið GUI forrit fyrir NEST Simulator.
net2o	net2o snap
netaccess	Samþykkja/afturkalla internetaðgang frá vélinni þinni hjá IIT Madras
netactview	Myndræn nettengingarskoðari
netcalc	Netreiknivél
netconf-client	Netconf CLI tól til að spyrjast fyrir um netþjóninn
dotnet-runtime-21	Cross-platform .NET Core keyrslutími.
dotnet-sdk	Þróaðu afkastamikil forrit á skemmri tíma, á hvaða vettvangi sem er.
netdiscover-ondra	netuppgötvun
netflix-web	Netflix
nethack	Hið vinsæla nethack leikjaævintýri
netota	Netþjónustusvíta fyrir SysOTA
netpanel-desktop	NetPanel skjáborð
netron	Netrón
dotnet-runtime-31	Cross-platform .NET Core keyrslutími.
dotnet-runtime-50	Þverpalla .NET keyrslutími.
net-snmp	SNMP umboðsmaður
net-toolbox	Netverkfæri
netvfy-agent	Netvfy - Tengstu við örugga sýndarnetið þitt.
netvirt-agent2	NetVirt er sýndarvæðingarvettvangur fyrir netkerfi.
network-manager	Netstjóri
net-worth	Fáðu fljótt yfirlit yfir góðmálma þína og dulmálseignir!
neuronify	Umsókn um menntatauganet
neverbore	Myndrógík ráðgáta leikur
mir-kiosk-neverputt	neverputt pakkað sem IoT GUI
new-guid	new-guid er einfalt CLI forrit sem skilar nýju gervi-handahófi GUID/UUID þegar hringt er í það.
newnode-helper	Bætir hnút við NewNode VPN jafningjanetið
newpass	Búðu til handahófskennt lykilorð af tiltekinni lengd á skipanalínunni
newrelic-cli	Verkefni til að sameina nokkur verkfæri sem New Relic býður upp á fyrir auðlindastjórnun.
newsboat	RSS/Atom straumlesari fyrir textaútstöðvar
newsfind	Leitaðu að fréttum eftir leitarorði
newsflash	Fylgstu með uppáhaldsbloggunum þínum og fréttasíðum.
newt	Kafa dýpra í dásamlegar sögur
newton	Newton Mail hækkar tölvupóstinn þinn fyrir minna en kaffibolla.
new-vegas-games	Spilavíti borð og kortaleikir
nextbox	Nitrokey NextBox Core Snap
nextcloud-desktop-client	Nextcloud skjáborðsbiðlari
nextcloud	Nextcloud Server – Öruggt heimili fyrir öll gögnin þín
nextcloud-nextant	Nextcloud Server + leitarstuðningur
nextcloud-nextbox	Nitrokey Nextbox Nextcloud Server
nextcloud-port8080	Nextcloud þjónn
next-neuron	ubuntu core20 byggt inspur öryggisgátt
nexus	Ljúktu við WAMP v2 leið og viðskiptavinur skrifaður í Go
nftables-pk	nftables er nýi pakkaflokkunarramminn sem kemur í stað iptables
ngcodec	snap python próf
ngif	nGIF fyrir Linux (ekki viðhaldið, notaðu Almond Viewer)
nginx-prometheus-exporter	NGINX Prometheus útflytjandi fyrir NGINX og NGINX Plus
nginxrtmp-minsikl	NGINX og RTMP byggður streymisþjónn í beinni
ngraph-gtk-htrb	forritið til að búa til vísindalega tvívíddar grafík.
ngrok-cimm	Örugg innhverf göng fyrir staðbundinn gestgjafa.
ngrok	ngrok er forritanlegur netbrún sem bætir við tengingu, öryggi og sýnileika við forritin þín án kóðabreytinga.
nhasachhalong	Nhà Sạch Hạ Long - Dịch vụ vệ sinh công nghiệp Quảng Ninh
nibras	Leiðbeiningar og orðabók hönnuð fyrir fyrsta árs nemendur við háskóla í Alsír með tæknilega sérhæfingu
nift	vefþróunarramma
nightfall-hacker	Skipuleggja, hakka og berjast gegn skaðlegum hugbúnaði.
nightmayr-plasma-integration-5-2204	Samnýtt Qt 5.15
nightmayr-qgnomeplatform-qt5-2204	QGnome vettvangur
nightmayr-qt-5-15-6-2204	Samnýtt Qt 5.15
nightmayr-qt-5-15-6-2204-sdk	Samnýtt Qt 5.15
night-mission-pinball	Pinball leikur gerður með Pinball Construction Set
nightwing	Staðbundin þjónusta sem fylgist með fjarþjónustuverkefninu og gerir skýrslur fyrir þig.
niki	Allir margmiðlunarspilarar
nikola	Mát, fljótleg, einföld og kyrrstæð vefsíða og bloggframleiðandi
nilay-apps	GNU Halló, Hello World snap
nilog-app	Nilog Support - Sérstakt teymi fyrir stuðning eftir kaup
nimblenote	lipur nótur
nimetovna	Einfalt Hello World forrit.
ningpo-mah-jong	Annar frábær PopCap leikur
nino	Nino Internet Speed Monitor
nirenjan-git	Git - hratt og stigstærð dreifð endurskoðunareftirlitskerfi
nitrokey-app	Nitrokey forrit
nkust-ap	NKUST AP
nls	Enskur uppbyggingargreiningartæki
nmap	Ókeypis og opinn hugbúnaður fyrir netuppgötvun og öryggisendurskoðun
nmfu	Parser rafall
no-gba	Nintendo GBA keppinautur
noabspath	Finndu harðkóðaðar algildar slóðir í kóðagrunnum, skrifaðar í Rust
noahs-ark-deluxe	Annar frábær PopCap samsvörun leikur
nockberge	Demo Snap
nocloud	NoCloud Platform CLI
nocturn-mardy	Náttúrulegt
node-env	Tól til að búa til hnútumhverfi á Ubuntu netþjóni
nodejs-binaries	Node.js tvöfaldur.
nodeled	Einfalt REST API til að stjórna RGB LED á Raspberry Pi
nodemailerapp	Besta kembiforritið fyrir tölvupóst
node-red-amd64	RAUÐUR-hnútur
node-red	Lágkóða forritun fyrir atburðadrifin forrit
node-red-industrial	Lágkóða forritun fyrir atburðadrifin forrit
node-red-rpi-lwl	Lágkóða forritun fyrir atburðadrifin forrit
nsw	Stillanlegur vefþjónn fyrir snap
node-web-server-tcs-poc	TCS POC á chuck norris tilvitnunarþjóni
nodo	Opinn uppspretta landrýmisgeymsluþjónn sem styður Amazon S3 API
noetter	noetter
no-gravity	Háhraða geimskotleikur
noip-client	No-IP Dynamic DNS Update Client fyrir Linux
noipy	Skipanalínutól til að uppfæra DDNS hýsingar IP - No-IP, DuckDNS og DynDNS
nomad	Dreifðu forritum auðveldlega á hvaða mælikvarða sem er
no-more-secrets	CLI tól sem endurskapar afkóðunaráhrifin úr kvikmyndinni Tennis.
nongnu-gsequencer	Háþróaður Gtk+ Sequencer
nonogram-qt	Nonogram-qt er ráðgáta leikur sem mun búa til (hálf) handahófskenndar þrautir
nonpareil-cm	Hágæða hermir fyrir reiknivélar
nope	nei
thingy52	Fyrirferðalítill fjölskynjara BLE frumgerð pallur
nordpass	NordPass
norka	Textaritill smíðaður til að einfalda
noson	Nauðsynjar til að stjórna tónlist á SONOS tækjunum þínum
notable	Markdown-undirstaða minnismiðaforritið sem er ekki sjúgað.
notable-utility	Uppfærðu reMarkable skjáina þína.
notepad3	Notepad3 er fljótur og léttur textaritill.
npdd	Einfaldur ritstjóri Notepad++.
notepadqq	Ritstjóri svipað og Notepad++ fyrir Linux.
notepad-plus-plus	notepad-plus-plus er ókeypis frumkóða ritstjóri.
web-notes	Athugaðu umsókn með fullkominni skráastjórnun
notes	Minnistaka app, skrifaðu niður hugsanir þínar
notesnook	Opinn uppspretta dulkóðaður frá enda til enda valkostur til að taka minnispunkta en Evernote.
notewriter	Einfaldur athugasemdahöfundur
notex	Einfalt skrifblokkaforrit skrifað í C++!
notifi	HTTP push tilkynningar
notifier	Lítill hjálpari til að birta tilkynningar á mismunandi kerfum
notion-calendar-snap	Óopinbert Notion dagatalsforrit fyrir Linux dreifingar
notion-snap-reborn	Hugmynda-smell-endurfætt
notus	Mótaðu útbreiðslu COVID-19 til að búa til öruggari uppsetningu á mörgum herbergjum.
novnc	Opinn uppspretta VNC viðskiptavinur með HTML5 (WebSockets, Canvas)
np-dictionnaire	Orðalisti Français hors-ligne (byggt á larousse)
np-resistor	Viðnámsreiknivél með litum og Ω
nps-svn-client	NPS Subversion viðskiptavinurinn býður upp á einfaldan, myndrænan Subversion viðskiptavin.
nrgeditor	NRG - Rauntíma umsóknarþróunarumhverfi
nrich	CLI tól til að greina IP-tölur fyrir opnar hafnir/veikleika
nrj-fr-radio	NRJ.fr útvarp
nsd-exporter	Prometheus Exporter fyrir NSD (Name Server Deemon)
ntopng-blake	Háhraða vefbundin umferðargreining og flæðissöfnun.
ntpcontrol	Einfalt smella til að stilla NTP miðlara vistfang
ntpdate-snap	Þetta er ntpdate í fljótu bragði
ntpserver	ntp server snap app
nuclear	kjarnorku
nuclear-invaders	2013 Zx Spectrum Nuclear Invaders endurgerð
nucleob	Lífupplýsingafræði - tölfræði um núkleóbasa og amínósýrur
nuimio	Snjallasta leiðin til að fylgjast með og læra orðaforða þinn
nuko	Þessi nuko pakki býður upp á aðferð til að fjarlægja bloatware frá Android.
numbers	Tölur
numbertyping	App til að æfa.
number-zerk	Fallegur ráðgáta leikur
numgen	Býr til handahófskenndar tölur (og skrifar þær í skrá í útgáfum sem ekki eru skyndimyndir)
numix-gtk-themes	Numix GTK þema fyrir GTK Snaps
numnom	Stærðfræði leikur fyrir ungt fólk
numpy-dice-hy	Teningkast með numpy.
numpyviewer	Þægilegur áhorfandi fyrir óþægilegar skrár og tensora.
nuspell	Hratt og öruggt C++ villuleit skipanalínuverkfæri
nutty	Netupplýsingaforrit
nvchess	3D útgáfa af leiknum fyrir nVidia skjákort
nvidia-core22	NVIDIA og Mesa bókasöfn fyrir core22 skyndimyndir
nvtop	GPU eftirlitstæki fyrir AMD, Intel og NVIDIA
nxcloud	Skipanalínubiðlari til að hafa samskipti við Nextcloud
nxengine-evo	Doukutsu Monogatari - hoppa og hlaupa platformer
nxshell	NxShell
nyrna	Fresta leikjum og öppum
office20	Opinn uppspretta lágmarks skrifstofusvíta með O365 UX
o3de	O3DE er opinn uppspretta, þvert á vettvang, rauntíma þrívíddarvél sem þú getur notað til að búa til afkastamikla gagnvirka upplifun
oai-hss	Eining OpenAirInterface HSS Tengsl 14
oai-mme	OpenAirInterface MME eining með LL-MEC umboðsmanni
oai-ran	OpenAirInterface RAN Entity með FlexRAN umboðsmanni/keyrslutíma
oai-sim	OpenAirInterface L2 kerfishermir/hermir
oai-spgwc	OpenAirInterface spgwc eining með LL-MEC umboðsmanni
oai-spgwu	Eining OpenAirInterface spgwc Tengsl 14 með LL-MEC umboðsmanni
oai-tracer	OpenAirInterface RAN rekja spor einhvers og skoðara
oai-ue	Mosaic5G OAI ESB eining
obfuscate	Ritskoða einkaupplýsingar
edgex-objectbox	ObjectBox gagnagrunnur með IoT Edge vettvang EdgeX Foundry™ - Edge Computing í IoT
obs-cli	Stjórnaðu OBS fjarstýringunni frá skipanalínunni
obscurant	Klassíski feluleikurinn.
tingdahl-observatory-http-cli-scanner	Skoðaðu HTTPS vinnubrögð vefsvæðisins þíns úr CLI skanna
obsr	OBSR er flaggskip veskishugbúnaður OBServer.
obsidian	Obsidian
obs-studio	Ókeypis og opinn hugbúnaður fyrir streymi í beinni og skjáupptöku
ocalver	Álitsgjafi CalVer rafall
ocf-util	Tól til að prófa OCF tæki
ocrmypdf	OCRmyPDF bætir leitarhæfu textalagi við skannaðar PDF skjöl
ocrmypdfgui	Wrapper GUI fyrir OCRmyPDF eftir James R Barlow
ocrthypdf	Gerðu PDF skrárnar þínar leitarhæfan (GUI fyrir OCRmyPDF)
octave	Gagnvirkt forritunarumhverfi fyrir tölulega útreikninga
octoprint-sdev	Octoprint, lipurt vefviðmót fyrir þrívíddarprentarann þinn
octopusco	octopusCo mælaborðsforrit fyrir Linux.
odcey	BlackBox Component Builder .odc snið textabreytir
odcread	.odc oberon samsettur skjalalesari (hættur)
oddisy	Oddisy - World Building Database
odin-c2is	ODIN hjálpar þér að skapa ástandsvitund með stöðluðum NATO táknum
odinlink	OneLink API tól.
officesupplymanagement	Umsjón með skrifstofuvörum og pöntunum
offlineimap	Ótengdur IMAP
offline-solution-flutter	CBHC offline Bahmni
ogre	OGRE (Object Oriented Graphics Rendering Engine)
ogre-meshviewer	OGRE Mesh Viewer
ohmygiraffe	ó gíraffi minn
ohmyirc	Ó IRC minn
oil-pipes	Spænskur pípuþrautaleikur
oil-refinery	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
oink	Léttur DDNS viðskiptavinur fyrir Porkbun
okteta	Hex ritstjóri
okular	Skjalaskoðari
olam	Olam ensk malajalam orðabók
olan	Ólan
olang	Kerfismiðað hagnýtt forritunarmál
olaris	Opinn uppspretta, samfélagsdrifinn fjölmiðlastjóri og umskráningarþjónn.
osgg	Retro þyngdarafl leikur
olivia	Glæsilegur Cloud tónlistarspilari fyrir Linux skjáborð
omabox	Nettengd myndahringekja fyrir stafræna myndaramma.
omairqazi-instantnews	https://github.com/omairqazi/omairqazi-instantnews
oman	Lestu mannasíður af vefnum á tölvunni þinni
omega-linux	Omega RPG leikurinn
omegat-cat	OmegaT, ókeypis (GPL) þýðingarminni tólið
omniscope-evo	Fullkomið BI tól fyrir gagnaundirbúning, könnun og sýn
ondra-snap-ssh-debug	ssh göng með innbyggðum ssh netþjóni
onedrive-cli	Ókeypis OneDrive viðskiptavinur fyrir Linux
onefetch	Skipanalínu Git Insights Tool
onekey-wallet	Kaupa og skiptast á dulritunargjaldmiðlum, NFT
onelink	Fljótur og öruggur skráaflutningur
one-messenger-pc	oneMessenger
onenote-desktop	OneNote Desktop Client fyrir Linux
onionshare	Með OnionShare geturðu deilt skrám, hýst vefsíður og spjallað við vini á öruggan og nafnlausan hátt með því að nota Tor
onlykey-app	Stilla og stilla OnlyKey
onlyoffice-desktopeditors	Skrifstofusvíta sem gerir þér kleift að búa til, skoða og breyta staðbundnum skjölum.
onlyoffice-ds	Skrifstofusvíta á netinu sem gerir þér kleift að búa til, skoða og breyta skjölum.
ontrackmeetings	OnTrack fundir
onvif	Onvif myndavélaskoðari. staðbundið eða fjarlægt
dpp-chat	Oodles Messenger
oo-ds-test	Skrifstofusvíta á netinu sem gerir þér kleift að búa til, skoða og breyta skjölum.
ooktay-hello	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
opalopc	OPC UA öryggisskanni
opcua-aggregator	Sterfive NodeOPCUA-undirstaða aggregator
opcua-commander	Bölvunarbyggður OPCUA viðskiptavinur fyrir skipanalínu
opcua-modeler	Öflugur OPC UA líkan knúinn af NodeOPCUA
opcua-toolbox	OPCUA Toolbox Command Line Utility frá Sterfive
open-adventure	Háþróuð höfn á 1995 Crowther/Woods Adventure 2.5
openapi-oathkeeper	Þetta verkefni miðar að því að gera sjálfvirka gerð Ory Oathkeeper reglna úr OpenAPI samningi
openaudible	Hljóðbókastjóri sem hleður niður, umbreytir og skipuleggur hljóðbækurnar þínar.
openbabel	Opnaðu Babel, opinn uppspretta verkfærakistu fyrir efnafræði
openbayes-metrics	OpenBayes mælingarpúkinn
openblok-linux	OpenBlok er útgáfa af fallblokkaleiknum Tetris
openboard	OpenBoard er gagnvirkt töfluforrit á vettvangi sem ætlað er til notkunar í kennslustofum.
openchrom	Sjónræn og greining massarófs- og litskiljunargagna.
openclonk-game	OpenClonk er verkefni tileinkað þróun Clonk leikjaseríunnar.
opencomic	OpenComic
opencorsairlink	Stöðu- og stjórnunartól sem hefur samskipti við CorsairLink vörur
opencv-demo-webapp	Dæmi um webAPP OpenCV Demo, byggt á python. Frontend virkur á höfn 33443.
odrive-unofficial	Þetta er Linux GUI viðskiptavinur fyrir Google Drive.
opendungeons	Opnaðu Dungeons
open-dungeon	3D RPG
opendylan-timclicks	Dylan þýðanda og verkfæri
openexr-viewer	Einfaldur skoðari fyrir OpenEXR skrár með nákvæmri lýsigagnaskjá
open-file-app	Super flott app
openflexure-connect	OpenFlexure tenging
openfortivpn	openfortivpn, PPP+SSL VPN viðskiptavinur
open-general	Stefna leikur
opengrok	OpenGrok er fljótleg og nothæf frumkóði og krosstilvísunarleitarvél
opengrok-src-updater	frumkóða samstillingu stillingar fyrir opengrok
openhab	openHAB snjallheimilisþjónn
openhantek	OpenHantek útgáfa
openiothub	OpenIoTHub app
openjdk	Núverandi JDK útgáfa og snemma aðgangssmíði
openjk	Open source höfn Jedi Knight og Jedi Outcast seríunnar
openjfx	Núverandi JavaFX útgáfa og smíði snemma aðgangs
open-karaoke-producer	Opinn karókí framleiðandi
open-loco	Opinn uppspretta endurútfærsla á Locomotion eftir Chris Sawyer
openmvg	OpenMVG (opin multi view rúmfræði)
openmvs	OpenMVS - opið Multi-View Stereo endurbyggingarsafn
openmvs-mardy	OpenMVS - opið Multi-View Stereo endurbyggingarsafn
opennox	Nútímaleg útfærsla á Nox leikjavélinni
openosrs	Opinn uppspretta OSRS viðskiptavinur með fleiri eiginleikum og færri takmörkunum
openra	Ókeypis/ókeypis rauntíma tæknileikjavél sem styður snemma Westwood klassík
openrct2-unofficial	OpenRCT2 er opinn uppspretta endurútfærsla á RollerCoaster Tycoon 2
openrefine	Öflugt, ókeypis, opinn tól til að vinna með sóðaleg gögn
openresizer	Batch Image Resizer
openrocket	Ókeypis og heill eldflaugahermi.
openscad	Sterkur 3D CAD módelari forritaranna
openscad-nightly	Sterkur 3D CAD módelari forritaranna
openshot-community	OpenShot Video Editor
open-solitaire-classic	Opinn uppspretta útfærsla á klassíska eingreypingunni
openspades	Sandkassabygging og FPS tölvuleikur
openspeedtest-server	OpenSpeedTest Server
openstack-cli	OpenStack skipanalínubiðlari
openstackclients	OpenStack biðlaraverkfæri
openstack-toolkit	Openstack kembiforrit
open-syobon-action	Opinn uppspretta, þverpallaútgáfa af hinu linnulausa japanska pallspilara
opentodolist	Verkefnalisti og minnismiðaforrit
opentofu	OpenTofu gerir þér kleift að stjórna skýjainnviðum þínum með yfirlýsandi hætti.
opentoonz	Ókeypis og opinn hugbúnaður fyrir 2D hreyfimyndir
opentoonz-morevna	Ókeypis og opinn hugbúnaður fyrir 2D hreyfimyndir
opentrack	Hugbúnaður fyrir höfuðrakningu fyrir MS Windows, Linux og Apple OSX
openttd	OpenTTD er opinn uppruni hermir leikur byggður á Transport Tycoon Deluxe
openttd-server	OpenTTD er opinn uppruni hermir leikur byggður á Transport Tycoon Deluxe
open-typer	Ókeypis og opinn uppspretta vélritunarkennsluforrit
opentyrian	Skotleikur í spilakassa-stíl
opentyrian-windows	OpenTyrian er opinn uppspretta útgáfa af DOS leiknum Tyrian
opera-beta	Fljótur og öruggur vafri
opera-developer	Fljótur og öruggur vafri
opera	Fljótur, öruggur og auðveldur í notkun vafri
opera-proxy	Sjálfstæður Opera VPN proxy viðskiptavinur.
operator-builder	Kubebuilder viðbót til að flýta fyrir þróun Kubernetes rekstraraðila.
optiic	Optiic er háþróað myndgreiningarforrit (OCR).
opy	Python frá Onelinerers, sem virkar eins og AWK
oq	Færanlegt, afkastamikið jq umbúðir til að styðja önnur snið en JSON
oracle-cloud-agent	Oracle Cloud Agent
ora	Nú
orangecalc	Orange Calculator Lite er einföld Java reiknivél!
orange-installation-utility	appelsínugult uppsetningarforrit
oras	Pakki fyrir ORAS CLI tólið
orbit	Einfalt fjarmælingarkerfi til að fylgjast með fjarforritum þínum
orchis-themes	Orchis GTK Þemu fyrir GTK Snaps
organize-my-files	Auðvelt að skipuleggja skrár
org-stats	GitHub tölfræði fyrirtækja
oriconn	WAMP beinir
origin-routing-machine	ORM er öfug proxy stillingar rafall.
orion-desktop	Fullbúin straumbiðlari og straumspilari fyrir Linux Desktop
ornament	samantekt
oscam	OSCam er opinn hugbúnaður með skilyrtum aðgangseiningum
osddm	Oracle SQL Developer Data Modeler
osmclient	Python viðskiptavinur fyrir osm hljómsveit
osreport	Openstack kembiforrit
os-runes	Gamla skóla RuneScape sjósetja
ostad	Ostad er fullkominn færniþróunarvettvangur Bangladesh
osterw-snap-build-toy	Leikfangasmellur notaður til að prófa byggingarferli
osv-scanner	Varnarleysisskanni fyrir ósjálfstæði verkefna
osync	Tól til að samstilla á bestan hátt fjölda skráa við FTP netþjón.
othello	Falleg útgáfa af klassíska borðspilinu
othman-browser	Othman vafri
otot	!!!esrevinu pans eht fo pans tnatropmi tsom ehT!
