0ad	古代戰爭即時策略遊戲
lockbook	Lockbook 的 CLI 版本
lockbook-desktop	Lockbook 的 Linux GUI 版本
loganalyzer-pbek	透過使用正規表示式縮小內容來幫助您分析日誌文件
logarithmplotter	建立和編輯漸近波特圖
logcat-colorize	logcat-著色
logisim-snapcraft	Logisim 是一個數位電路模擬器
logisim-evolution-snapcraft	數位邏輯設計工具與模擬器
logisim-evolution	數位邏輯設計工具與模擬器
logmein-host	適用於 Linux 的 LogMeIn 主機軟體（測試版）
logs	歷史性
logsearch	簡化日誌檔案搜尋的工具
logseq	用於知識管理和協作的隱私第一開源平台
logs-inferno	地獄日誌
logsync-james	允許將日誌上傳到遠端伺服器
logyxpack	150 個遊戲，主要是邏輯遊戲，集中在一個視窗中
lokalize	電腦輔助翻譯系統
lolcat-c	用 C 語言編寫的 lolcat 實用程序
lolcat	彩虹和獨角獸！
lolcat-rs	Lolcat 為您的生活增添色彩。
lonewolf	角色扮演遊戲，選擇自己的冒險
longtermabsorbed-hello	GNU 你好，你好世界快照
losslesscut	無損視訊/音訊編輯的瑞士軍刀
lostmem	一個簡單的免費遊戲
lotion	Lotion 是一款適用於 Linux 的 Notion.so 電子應用程式。
lotus	filecoin 守護程式/客戶端
lotus-filecoin	filecoin 守護程式/客戶端
loupe	查看影像
love	免費 2D 遊戲引擎
lovely-memory-game	工作或學習之間短暫休息的放鬆遊戲
lp-build-snap	在 Launchpad 中觸發 Snap 包建置的實用程序
lpci	Launchpad CI 作業的執行者
lpcraft	Launchpad CI 作業的執行者
lpos	觀點
lp-remote-build-gh-ci-token-generator	顯示要儲存在 GH CI 中的令牌以使用遠端構建
lprint	標籤印表機應用程式
lpshipit	用於合併和測試啟動板 MP 的有用實用程序
lp-to-jira	用於將 Launchpad 內容導入 JIRA 的命令列介面
lpub3d	LPub3D - LDraw 建置指令編輯器
lr87	LR-87是過於簡單的啞終端Gemini客戶端
lsd	帶有許多漂亮顏色的 ls 指令。
ls-go	用 Go 編寫的 ls 的更豐富多彩且易於使用的實現
ls-having	命令列工具，用於根據指定的標誌檔案和其他條件查找目錄
lskat	適合兩人玩的德國紙牌遊戲 Skat
ltris-windows	一個免費的俄羅斯方塊克隆，遵循原始規則，但添加了一些額外功能
luca-hello	GNU 你好，你好世界快照
lucas-chess	該程式有 40 個引擎，從一開始就可以玩，並且級別各不相同
ludo	Jean-André Santoni 開發的 Libretro 模擬器的極簡前端
lunacy	適用於自訂 UI/UX、Web 專案、應用程式開發和數位媒體的圖形設計協作軟體
luna-modeler	關係資料庫的資料建模工具
lunasea	自架軟體控制器
lunatask	一體化加密待辦事項清單、習慣和情緒追蹤器、日記和筆記應用程式。
luneta	模糊終端定位器
lvnauth	創作和播放視覺小說
lw-ziki-amp	運用音樂的力量
lxd-bgp	BGP 伺服器公開 LXD 路由
lxd-demo-server	使用 LXD 的線上軟體演示會議
lxd	LXD - 容器和虛擬機器管理器
lxdmosaic	用於管理多個 LXD 實例的 Web 介面
lximage-qt	快速影像檢視器
lxi-tools	開源 LXI 工具
lyricfier	Spotify 應用程式的歌詞搜尋
lyricpad	強大的歌詞搜尋應用程式
lyrics818	產生帶有歌詞的視頻
lyubo-test-002	即時測試
lz4	極快的壓縮演算法
maas-cli	（已棄用）用於與 MAAS 區域通訊的 CLI
mabl-app	適用於 Linux 的 mabl 桌面應用程式
macaroon	從命令列烘烤杏仁餅！
mace	最小彙編程式碼編輯器
machine-sem-parar	本地應用
machine-sp	單行電梯推廣為您帶來精彩快照
mackup	保持應用程式設定同步
mad-caps	精美的三消遊戲
madfish	瘋狂的魚
magarbhasa	馬加爾語
magarena	單人集換式卡牌遊戲
magic8ball	問神奇8球
magic-device-tool	魔法裝置工具
magic-mahjong	麻將接龍遊戲
magic-paint-kaleidoscope	魔法墨水萬花筒
magicraminstaller	使用此腳本安裝 RAM！
magma-mud	Magma 多用戶地下城 (MUD) 引擎
magnesium	鎂音樂播放器
magnus	馬格努斯放大鏡
mahjong-game	麻將遊戲，單人遊戲。基於SDL2
mahjongg-windows	精美版麻將接龍
maiden-monk-and-ogre	精美的益智遊戲
maildir-utils	帶有 Emacs UI 的 Maildir 索引器/搜尋器
agent	適用於 Linux 的 Mail.ru 代理
mailspring	適合個人和工作團隊的最佳電子郵件應用程式
maiss-lehrerapp	Leichte 和 Lehreralltags 的高效組織
maitreya8	Maitreya 是吠陀和西方占星學的開源平台。
make-launcher	在桌面上製作應用程式啟動器
makemkv	備份您的 DVD 和藍光光碟
make-system-user	建立系統使用者檔案用於自動導入
makhber	馬克貝爾
malanhello	GNU 你好，你好世界快照
maldita-castilla	保衛你的王國…為了上帝和卡斯蒂爾！
mame	多街機模擬器 (MAME)
mangaku	Baca Komik Manga Manhua Manhwa、卡通、動漫 Free Lengkap disini tempatnya
mangband	Angband 多人遊戲版本
manon-mosta	單行電梯推廣為您帶來精彩快照
mantohtml	手冊頁到 HTML 轉換器
manuskript	Manuskript 是一款供作家使用的開源工具。
map-creator-unofficial	建立特定於語言的地圖、圖表、圖表和時間表。
mapollage	Mapolage 是 Google 地球的 kml 照片產生器
mapscii	整個世界都在你的控制台上。
backslash-maps	使用 BackSlash 地圖更快、更輕鬆地探索您的世界
mapton	某種地圖應用程式
marble	虛擬地球儀
marble-race	彈珠跑小遊戲
marge	Markdown 渲染器（Github 版）
mari0-ce	社區驅動的修復和改進 Mari0:SE 最新版本的努力
mari0	馬裡奧平台 + 門戶
marioqeshm	巴登
mdview	從命令列在瀏覽器中查看 Markdown 文件。
marker	適用於 GNOME 桌面的強大 Markdown 編輯器。
marketo-monkey	CLI 工具協助 Marketo 集成
marksman	Markdown 的 LSP 伺服器
marktext	一個簡單而優雅的開源折扣編輯器，專注於速度和可用性。
marp-cli-carroarmato0	用於基於 Marp 和 Marpit 的轉換器的 CLI 介面
marsshooter	一款 2D 太空射擊遊戲，具有令人難以置信的視覺效果和有吸引力的物理效果。
mars-t	火星太陽日期和火星座標時間
martialcards	復古卡片 Roguelike
massif-visualizer	查看Valgrind Massif記錄的記憶體使用情況的工具
masterofrenaissance	Java版文藝復興大師遊戲
master-pdf-editor-5	Master PDF Editor 是處理 PDF 文件的完整解決方案
mom-ime	Master of Magic 是一款角色扮演遊戲和策略遊戲的結合
materialmaker	可用於按程式建立紋理的工具
materials	倫敦帝國學院計算系的材料應用程式（非官方）
mate-system-monitor	MATE Desktop 的進程和資源監視器
math-notebook	Mathcha 筆記本，Mathcha 桌面版
mathspace3d	3D數學遊戲
matrix-commander-gael	簡單而方便的基於 CLI 的 Matrix 用戶端應用程式
matrix-synapse-bridged	Synapse 是由 Matrix.org 基金會撰寫的開源 Matrix 伺服器。
matrix-synapse-ec0	參考矩陣家庭伺服器
matroska-tools	適用於 Linux、Unix 和 Windows 的 Matroska 工具
matterbridge	MatterBridge 協議橋
mattercord	Mattercord：Discord 和 Slack 的混合體。
matterhorn	馬特宏峰
matterircd	與 Matter 和 Slack 整合的最小 IRC 伺服器
mattermost-client-ogra	Mattermost 的 Web 應用程式
mattermost-desktop	專為協作新時代打造的安全、靈活的平台
maven-central-search	Maven 中央搜尋
max65	適用於 65xx CPU 系列的命令列宏交叉組譯器
maxautoclicker	滑鼠點擊模擬和自動化
maxima	完整的計算機代數系統
maxishoot-unofficial	殺死盡可能多的敵人
zetsubougames-maxmassacre	以充滿怪物的奇幻世界為背景的視覺小說
maxtest	回饋表
maybe-thibran	在命令列上跳到已知資料夾
mazu-editor	具有語法突出顯示、複製/貼上和搜尋功能的簡約文字編輯器
mbd-nm-captive	監聽網路連線狀態的變化
mboard	數位孿生 KPI 儀表板
mcc-testbed	行動雲端運算測試工具
mcomix-tabetai	可自訂且易於使用的圖像檢視器，專為處理漫畫而設計。
mc-pasman	Midnight Commander - 控制台檔案管理器
mcq-pulzion	MCQ-拉動
mcrcon-nsg	mcrcon 是一個基於控制台的 rcon 用戶端，用於遠端管理和腳本編寫
mc-server-installer	Minecraft 伺服器下載和安裝/設定工具
md2pdf-client	使用 md2pdf 伺服器將 Markdown 文字渲染為漂亮的 PDF
md5-console	一個簡單的MD5計算工具。
mdaraujo19-jtd	Java 用於可分發
mdbook	從 Markdown 檔案建立一本書
mdl	Markdown Lint 工具
mdless	在終端中舒適地查看 Markdown
mdns	mdns.cli 服務定位器
mdns-hostname	用於發佈主機名稱的 mDNS 迷你守護程式.local
mdserv	在網頁瀏覽器中查看 Markdown 文件
mdtex	米德克斯
mead-r	用 Rust 程式語言重寫莫爾斯編碼和解碼。
mechvibes	打字時播放機械式鍵盤聲音
mediaconch-gui	合規檢查器
mediainfo	用於從音訊/視訊檔案讀取資訊的命令列實用程序
mediainfo-gui	用於從音訊/視訊檔案讀取資訊的圖形實用程序
medicapptoolsdatasets	MedicApp工具資料集
meepo	在 p2p 通道上無需公用 IP 連線到您的服務
mega-cmd	用於存取 MEGA 的互動式、可編程命令列應用程式
megamek	Battletech 多人戰鬥模擬器
meine-gesundheit	梅因·格桑海特
melissacarlson-hello	GNU 你好，你好世界快照
melodie	旋律
melonds	任天堂 DS 和 DSi 模擬器
meme	迷因
memfifo	ZTEX USB-FPGA 2.16 模組的影像載入器和介面頻寬測試儀
memgauge	記憶體效能監控和基準測試工具
memo-editor-95-language-translation	備忘錄編輯器 95 語言翻譯
memory-tiles	Memory Tiles 是一款簡單的記憶配對遊戲。
menukaran	手動安全地建立和管理桌面文件。
mercurial	水銀DVC
merkaartor	OpenStreetMap 編輯器
merlins-magic-breakout	更新街機經典
mesa-core22	core22 快照的檯面庫
meshlab-mardy	網格實驗室
mesmerize	鈣圖像分析平台
messenger-collabee	協作信使
metadata-cleaner	查看和清理文件中的元數據
meta-maas	管理多個 MAAS 區域的工具
metanorma	Metanorma 文檔產生器
meteo	透過數據和地圖了解未來幾小時和幾天的天氣預報
meteor-defence	保護你的星球免受外星飛船的入侵
metrics	阿納迪亞指標
mgba	mGBA Game Boy Advance 模擬器 https://mgba.io/
mget	下載檔案的命令
mgopurge	清理mgo/txn管理的Mongo資料庫
mg-thibran	OpenBSD 微型 Emacs 克隆
michaelp-anthwlock-untrunc	恢復損壞（截斷）的 mp4、m4v、mov、3gp 視頻
microceph	簡單的Ceph集群部署
microcloud	小規模自動化雲端部署
micro	現代且直觀的基於終端的文本編輯器
microk8s	適用於工作站和裝置的 Kubernetes
microk8s-integrator-macos	MicroK8s MacOS 整合器
microk8s-integrator-windows	MicroK8s Windows 整合器
microm8	microm8 蘋果][ 模擬器
micropad	一個功能強大的筆記應用程序，可幫助您不受限制地整理和記筆記。
micropolis	Micropolis，Maxis Software 的原創城市模擬遊戲
micropolisj	開源城市模擬器。
micropython	MicroPython Linux 版本
micro-ramukima	微服務工具包
micro-ros-agent	橋接 micro-ROS 和 ROS 2 應用程式
microservicebus-dam	microServiceBus 的裝置存取管理
microservicebus-node	microservicebus-node 是用於 microServiceBus.com 的基於 Node.js 的代理
microsocks-simosx	小型便攜式 SOCKS5 伺服器，資源使用率非常適中
storage-explorer	最佳化您的 Azure 儲存體管理
ms-solitaire	從 Windows XP 中提取的 Microsoft Solitaire
ms-spider-solitaire	從 Windows XP 中提取的 Microsoft Spider Solitaire
microsoft-todo-unofficial	微軟待辦非官方版本
microstack-test	用於測試 MicroStack 的集會、風暴和測試設定。
micro-xrce-dds-agent	Micro XRCE-DDS 與 DDS 用戶端之間的橋樑
midnightmareteddy	射擊並生存
midnight-rebooter	此快照在午夜重新啟動設備
midori	輕量、快速且免費的瀏覽器
miggy-migration	用於腳本遷移和修補
migra	與 diff 類似，但適用於 Postgres 模式
miksudr	躲避箭矢並生存！
mikutter	簡單、強大、功能強大的多服務用戶端（Mastodon、Twitter）
milky-way-madness	經典投幣式街機射擊遊戲！
mille-bornes	遊戲《Mille Bornes》的 DOS 版本
mille-text	Mille Bornes 紙牌遊戲的經典文本版本
millipede	經典街機遊戲的重製版
mill	支援多種規則變體的 Mill 遊戲。
mimixrom-hello	你好
mindi	明迪音頻轉換器
mindrover-europa	一款復古坦克遊戲
mindustry	一款沙盒塔防遊戲
mindustry-linux	一款塔防沙盒遊戲
mindustry-windows	一款塔防沙盒遊戲
mineboy	在這款平台冒險遊戲中逃離礦井並探索其秘密。
mc-installer	Minecraft - Java 版的簡單安裝程序
minecraft-server-jdstrand	適用於 Ubuntu Core 的 Minecraft 伺服器捆綁包
minerva	離線閱讀 MKProject 書籍的方式
minestorm	Vectrex遊戲版
minesweeper	掃雷遊戲
minesweeperjs	掃雷Js
minetest	開源體素遊戲引擎
minicom-snap	適用於 Ubuntu Core 的 Minicom 串行終端實用程式
mini-desktop-racing	迷你庫柏賽車遊戲
mini-diary	簡單安全的日記應用
minidlna-jdstrand	伺服器軟體旨在與 DLNA/UPnP 用戶端完全相容。
minigolf-1shot	迷你高爾夫球場，附 1 個鑰匙
mining-flasktemp	燒瓶應用程式
minio-mc-nsg	MinIO MC 是一個實作 AWS S3 API 的物件儲存用戶端。
miniterm-joc	pySerial 小術語一覽
mini-text	臨時文字編輯
minivirt	單行電梯推廣為您帶來精彩快照
minizinc	隨附的 MiniZinc 語言工具組和 IDE
minotaur-wallet	牛頭怪錢包
mint-console	Mint 控制台桌面應用程式。
minter-console-web	明特控制台
minuet	音樂教育軟體
miriway	Miriway：為您的桌面環境配置的圖形外殼
mir-kiosk	立即遷移到 Ubuntu Frame
mir-kiosk-mpv	在資訊亭模式下播放視頻
miro	線上協作白板平台可隨時隨地將團隊聚集在一起。
mirros-one	專為智慧鏡子量身訂製的作業系統。
mir-test-tools	Mir 測試腳本和應用程式
miscord	從 Facebook Messenger 到 Discord 的簡單橋樑
missilemath	飛行的飛機射手
mist	自動植物澆水
mitk	醫學影像互動工具包 (MITK)
mixin-desktop	混合信使
mixxx-community	Mixxx 是免費的 DJ 軟體。
mizar	一個有用且直覺的 TCP 測試工具，可以立即使用。
mjolnir	雷神錘響指
mjpg-streamer	UVC 網路攝影機串流工具
mkcron	適用於 Linux 桌面的簡單 Cron 計劃表達式編輯器
mkdocs-carroarmato0	使用 Markdown 編寫專案文檔
mki3dgame-snap	在 3D 關卡中搜尋寶石。避免飛行怪物。
mkp224o	用於洋蔥 v3 隱藏服務的自訂位址產生器 (ed25519)
mkpass	簡單又安全的密碼產生器
mkvtoolnix-jz	MKVToolNix 是一組用於建立、變更和檢查 Matroska 檔案的工具
mle-editor	靈活的基於終端的編輯器。
logmms	EI 操作記錄
mmdutil	Markdown 轉換實用程式。
mmex	Money Manager Ex - 簡單易用的財務管理軟體
mmongodb	MongoDB
moabite-stone	摩押三消遊戲
moauth	OAuth 2.0 授權和資源伺服器
mobalytics-desktop	莫巴利石
mobsf	行動安全框架 (MobSF)
mobsfscan	用於尋找 Android/iOS 原始碼中不安全程式碼模式的靜態分析工具
mob-sh	使用 mob 進行快速 git 傳輸
mocha-desktop	摩卡
mockoon	模型
mockswitch	類比服務、Rest 用戶端、開放 API、Swagger
mockuuups	產品模型，簡單、即時。
modem-manager	ModemManager是控制行動寬頻的服務
mojave-themes	Mojave GTK 和 GTK 快照的圖示主題
mojo	Mojo - Juju 的持續交付
molden	Molden 是一個用於顯示分子密度的軟體包。
molecule-dev	Molecule.dev 演示應用程式
monacoin	全面驗證 Monacoin 點對點網路節點、錢包和 GUI
mon-adhan-desktop	Mon Adhan Destkop - 普里埃 / 禮拜時間
monento	用於透過加密資料同步監控個人財務的跨平台應用程式。
xmr-miner-gui	只需使用透過圖形使用者介面控制的 CPU 即可挖掘門羅幣 (XMR)。
monexec	具有可選 Consul 自動註冊功能的輕量級管理器
mongo22	MongoDB 面向文件的資料庫
mongo24	MongoDB 面向文件的資料庫
mongo26	MongoDB 面向文件的資料庫
mongo30	MongoDB 面向文件的資料庫
mongo32	MongoDB 面向文件的資料庫
mongo33	MongoDB 面向文件的資料庫
mongo36-configurable	MongoDB面向文件的資料庫，完全可配置！
mongo44-configurable	MongoDB面向文件的資料庫，完全可配置！
monika	綜合監控變簡單
monograph	用於在社交網路上建立文章和貼文的強大工具。
monoline	單線
monolith	Monolith - 輕鬆儲存 HTML 頁面
monophony	從 YouTube 串流音樂
monowinformsspy	用於檢查 mono winforms 應用程式 UI 的工具。
monument	智慧照片管理
moon-buggy	駕駛汽車穿越月球
moonbook	發票製作應用程式可以在不到一分鐘的時間內建立簡單的發票。此計費管理入口網站管理多個企業
moonlight	從另一台運行 Sunshine 或 GeForce Experience 的電腦串流遊戲和應用程式
moon-modeler	適用於 MongoDB、Mongoose 和 noSQL 的資料建模工具
moonplayer	月亮玩家
moosync	Moosync 是一款可自訂的桌面音樂播放器，介面簡潔
mootsgame	3D文字遊戲
morgen	您唯一需要將日曆、任務和日程安排整合到一處的應用程式
moroway-app	MOROway snApp
morpion	莫皮昂
morse-encode-and-decode	使用莫爾斯編碼或解碼
mtgcalc	僅根據收入來確定您的抵押貸款負擔能力！
mosbbz	適配層 6502 的 Acorn MOS
moskotcho-password-generator	用於產生隨機且安全密碼的開源應用程式
mosquitto-configurable	可配置的蚊子捕捉
mosquitto	Eclipse Mosquitto MQTT 校正器
moted	座右銘
motes	現代筆記
motrix	完整的下載管理器
mountain-tapir	Mountain Tapir Collage Maker 是一款將圖像組合成拼貼畫的工具。
mounty	SSH 掛載目錄
mousai	在幾秒鐘內識別歌曲
movie-monad	用 Haskell 製作的免費且易於使用的影片播放器。
moviesquare	適用於 Linux 桌面的電影發現用戶端
movx	莫夫X
mp3gain	MP3Gain 分析並調整 mp3 文件，使它們具有相同的音量
mpg123-cm	快速控制台 MPEG 音訊播放器
mpv	免費、開源、跨平台的媒體播放器
mpv-nilsboy	免費、開源、跨平台的媒體播放器。
mpv-wayland	僅 Wayland 的 mpv 媒體播放器快照
mpw	主密碼應用程式的 CLI。
mqtt-client-cli	MQTT 用戶端 CLI。
mqttd	OpenIoTHub Mqtt 代理程式。
mqttdesk	跨平台MQTT桌面客戶端-MqttDesk
mqtt-explorer	全面且易於使用的 MQTT 用戶端
mqtt-paho-mosca	訂閱者和發布者 paho mqtt
mqttsrv	本地監聽11883的mqtt伺服器
mqttx	MQTT X：優雅的跨平台 MQTT 5.0 桌面用戶端
mrrescue	街機風格的消防遊戲
mrxecplayer	mrx_ec_player
ms-365-electron	MS-365-電子
msds	FISPQ
msnake	一個簡單的貪吃蛇遊戲
mspacman	吃豆夫人的 DOS 版本
mtail	用於指標導出器的 logtail-ing
mtask-desktop	超酷的應用程式
mtproxy	簡單的 MT-Proto 代理
webinar	MTS連結
muccadoro	使用 Figlet、cowsay 和 lolcat 的番茄計時器
mudlet-linux	一個跨平台、開源、超快的帶有 Lua 腳本的 MUD 客戶端
muezzin	伊斯蘭祈禱時間 (Adhan) 和古蘭經應用程序
muffet	Go 中的快速網站連結檢查器
multi-app-launcher	在網格中載入多個應用程式並立即啟動它們
multicommander	專業人士的文件管理器。
multicraft	Ubuntu 版本的 Multicraft 體素遊戲
multipass-gui	多次通過
multipass	Ubuntu 快照虛擬機
multipass-sshfs	用於掛載主機目錄的網路檔案系統用戶端
multipassword	MultiPassword 是一種可靠且安全的儲存密碼和網站登入資訊的方法。
mumble	開源、低延遲、高品質語音聊天
mmapper	MMapper 是一個用於 MUME（中土世界多用戶）的 mud 圖形用戶端和映射器
mummy-maze-deluxe	另一款很棒的 PopCap 益智遊戲
munadi	簡單的阿森應用程式
munatask	看板穆納任務
mup-accounts	mup IRC 和 Telegram 機器人 - 帳戶連接端
mupen64plus-gui	使用 GUI 建構 Mupen64plus 模擬器
mup-plugins	mup IRC 和 Telegram 機器人 - 外掛端
musclecalc	健身 - 估計一次重複次數最大 (1RM)
musescore	創作、演奏和列印精美的樂譜。
mushroomroulette	蘑菇輪盤是一款 2D 自上而下的基於關卡的益智遊戲。
musicarley	適合所有人的免費音樂和影片播放器。
picard	Picard 是 MusicBrainz 的官方音訊標記器
music-kitten	音樂小貓
musicly	一款簡潔優雅的音樂播放器
musicpod	適用於 Ubuntu 桌面的音樂、Podcast和網路廣播播放器
music-radar	Linux 桌面音樂識別應用程式
musikcube	基於終端的音樂播放器、元資料索引器和伺服器
musiko	音樂
musixmatch	Musixmatch 桌面應用程式
mutable-mamba	Mutable Mamba 是一款與眾不同的貪吃蛇遊戲
mutt	雜種狗
mve	多視圖環境
mve-mardy	多視圖環境
mvisonneau-s5	安全存放超敏感的東西
mvs-texturing-mardy	MVS 紋理 - 3D 重建紋理
mw-agent-host	測試總結
my-air-snap	這是我的快照
myappmaroine	使用 numpy 擲骰子。
my-awesome-app	這是演示應用程式。來自 Snapcrafters 範本 Plus
mycli	mycli 是 MySQL、MariaDB 和 Percona 的命令列介面。
my-covid-quizzie	測試申請
myedgesnap	我的壓力
my-electron-app	Electron 的 hello world 應用程式的 Starship 版本
my-finroc-snap-app	my-finroc-snaptest 摘要
my-finroc-snap	my-finroc-snap 摘要
my-finroc-snaptest-app	my-finroc-snaptest-app 摘要
my-finroc-snaptest	my-finroc-snaptest 摘要
mygeniusapp	My Genius® 個人和企業監控應用程式
my-hello-javier	GNU 你好，你好世界快照
my-hello-snap	GNU 你好，你好世界快照
my-hello-world-app	你好世界應用程式。
myip	顯示外部IP位址
myman-mreed	這是我男人的照片
mynews	個性化新聞源分析器和串流媒體
mypdfsigner	MyPDFSigner 是使用 PKCS\#11 和 PKCS\#12 金鑰庫對 PDF 進行簽署的工具。
myposoid-windows	MyPOS.卡薩
my-published-app	STDIN 的字典過濾器
my-releng	顯示套件和版本的測試項目
my-sh-test	單線
mysnap-mqtt	MQTT 往返快照。
mysql-query-profiler	MySQL 查詢設定檔
mysql-shell	MySQL Shell 是 MySQL 伺服器的高階客戶端和程式碼編輯器。
mysql-workbench-community	MySQL工作台
mytelnet	米特爾網
mytestapp	Flutter 演示 Linux 計數器應用
mytestbank	測試台和測試產生程式。
mytestbankplus	測試台和測試產生程式。
my-test-snap	我的即時測試總結
my-test-snap-tmp	我的 snap tmp 測試
myth-makers-trixie-in-toyland	3D 動作平台遊戲
mytvlist	電視列表
mz2-schemaspy	簡單輕鬆地記錄您的資料庫
mzap	多目標 ZAP 掃描
n3dr	Nexus3災難復原
namebench-snap	namebench，DNS服務基準測試工具
namecoin-core	比特幣釋放了資金——Namecoin 釋放了 DNS、身分和其他技術。
nano-editor	奈米文字編輯器
nanovoid	具有詳細渲染 2D 圖形的經典 2D 太空射擊遊戲
nanowallet	NEM 區塊鏈平台的安全介面。
nap-snippets	Nap 是終端的程式碼片段管理器
natcloud	內網NAT
natls	⚡ 你永遠不知道你需要的「ls」替代品⚡
nativefier	Nativefier是一個命令列工具，可以輕鬆創建“桌面應用程式”
natron	納特龍
nats	適用於 NATS（雲端原生訊息系統）的高效能伺服器
nats-server	NATS 高效能伺服器
naval-battle	戰艦版
navisign-player	NaviSign 閱讀器
navoki-notes	記筆記並在所有行動、網路、桌面裝置上同步
nax	過著純文字招募的生活。
nbok	NBOK 允許 Mac、Windows、Linux、Android/iPhone 相互通訊、傳送訊息或文件
mosaic	NCSA 馬賽克
ncspot	用 Rust 編寫的跨平台 Spotify ncurses 用戶端
ndsi-node-exporter	普羅米修斯節點導出器
ndsi-process-exporter	普羅米修斯進程導出器
ndsi-rsync	在 Linux/Unix 系統上複製和同步檔案和目錄。
nebula	可擴充的覆蓋網路工具。
nebula-lighthouse-service	可擴充的覆蓋網路工具。
nectarjs	JavaScript 版 Deus Mod
nectar-mosaic-manager	馬賽克管理器
nectir	花蜜
nelson	我們去尼爾森吧！用於科學和工程應用的矩陣語言
neocd	NeoGeo CD 模擬器
neochat	去中心化通訊協定 Matrix 的客戶端
neofetch-desktop	Neofetch 桌面
neomutt	NeoMutt 是一個命令列電子郵件閱讀器（或 MUA）
neopocott	NeoPocott，NeoGeo Pocket 模擬器
neopop	NeoGeo 袖珍模擬器
neovide	您可能會找到的最快的 Vim 編輯器。
nvim	Vim-fork 專注於可擴充性和可用性
neovim-kalikiana	Vim-fork 專注於可擴展性和敏捷性。
nepaliunicode	Unicode 轉換器應用程序，支援 GNU/Linux、Windows 和 macOS。
nervatura	開源業務管理框架
nest-desktop	NEST Simulator 的基於 Web 的 GUI 應用程式。
net2o	網路2o快照
netaccess	批准/撤銷您在 IIT Madras 機器上的互聯網訪問
netactview	圖形網路連線檢視器
netcalc	網路計算機
netconf-client	用於查詢伺服器的 Netconf CLI 實用程序
dotnet-runtime-21	跨平台 .NET Core 運行時。
dotnet-sdk	在任何平台上用更短的時間開發高效能應用程式。
netdiscover-ondra	網路發現
netflix-web	Netflix
nethack	流行的 nethack 控制台冒險遊戲
netota	SysOTA 網路服務套件
netpanel-desktop	NetPanel桌面
netron	內創
dotnet-runtime-31	跨平台 .NET Core 運行時。
dotnet-runtime-50	跨平台.NET 運行時。
net-snmp	SNMP代理
net-toolbox	網路工具
netvfy-agent	Netvfy - 連接到您的安全虛擬網路。
netvirt-agent2	NetVirt是一個網路虛擬化平台。
network-manager	網路經理
net-worth	快速概覽您的貴金屬和加密資產！
neuronify	教育神經網路應用
neverbore	一款圖片邏輯益智遊戲
mir-kiosk-neverputt	neverputt 打包為 IoT GUI
new-guid	new-guid 是一個簡單的 CLI 應用程序，在呼叫時會傳回新的偽隨機 GUID/UUID。
newnode-helper	將節點新增至 NewNode VPN 對等網絡
newpass	在命令列產生指定長度的隨機密碼
newrelic-cli	一個整合 New Relic 提供的資源管理工具的專案。
newsboat	用於文字終端的 RSS/Atom 提要閱讀器
newsfind	按關鍵字搜尋新聞
newsflash	關注您最喜歡的部落格和新聞網站。
newt	深入探索精彩故事
newton	Newton Mail 以低於一杯咖啡的價格為您的電子郵件增壓。
new-vegas-games	賭場賭桌和紙牌遊戲
nextbox	Nitrokey NextBox 核心 Snap
nextcloud-desktop-client	Next雲端桌面用戶端
nextcloud	Nextcloud 伺服器 – 所有資料的安全之家
nextcloud-nextant	Nextcloud 伺服器 + 搜尋支持
nextcloud-nextbox	Nitrokey Nextbox Nextcloud 伺服器
nextcloud-port8080	下一個雲端伺服器
next-neuron	基於ubuntu core20的浪潮安全閘道
nexus	用 Go 編寫的完整 WAMP v2 路由器和客戶端
nftables-pk	nftables 是替代 iptables 的新資料包分類框架
ngcodec	快照Python測試
ngif	nGIF for Linux（未維護，使用 Almond Viewer）
nginx-prometheus-exporter	適用於 NGINX 和 NGINX Plus 的 NGINX Prometheus 導出器
nginxrtmp-minsikl	基於NGINX和RTMP的直播伺服器
ngraph-gtk-htrb	用於創建科學二維圖形的程式。
ngrok-cimm	為本地主機提供安全的可自省隧道。
ngrok	ngrok 是可程式網路邊緣，無需更改程式碼即可為您的應用程式添加連接性、安全性和可觀察性。
nhasachhalong	Nhà Sạch Hạ Long - Dịch vụ vệ sinh công nghiệp 廣寧
nibras	專為阿爾及利亞大學技術專業一年級學生設計的指南和字典
nift	網路開發框架
nightfall-hacker	規劃、破解和打擊有害軟體。
nightmayr-plasma-integration-5-2204	共享 Qt 5.15
nightmayr-qgnomeplatform-qt5-2204	QGnome平台
nightmayr-qt-5-15-6-2204	共享 Qt 5.15
nightmayr-qt-5-15-6-2204-sdk	共享 Qt 5.15
night-mission-pinball	使用 Pinball Construction Set 製作的彈珠遊戲
nightwing	本地服務追蹤遠端服務項目並為您提供報告。
niki	所有多媒體播放器
nikola	模組化、快速、簡單、靜態的網站和部落格產生器
nilay-apps	GNU 你好，你好世界快照
nilog-app	Nilog 支援 - 專業團隊在購買後提供支持
nimblenote	敏捷筆記
nimetovna	一個簡單的 Hello World 程式。
ningpo-mah-jong	另一個很棒的 PopCap 遊戲
nino	尼諾網速監控器
nirenjan-git	Git - 一個快速且可擴展的分散式版本控制系統
nitrokey-app	硝基鍵應用
nkust-ap	恩科科技大學AP
nls	英語結構分析器
nmap	用於網路發現和安全審核的免費開源實用程序
nmfu	解析器產生器
no-gba	任天堂 GBA 模擬器
